,Symbol,Name,Unnamed: 2,Price,Change,Change %,Volume,Avg Vol (3M),Market Cap,P/E Ratio (TTM),52 Wk Change %,52 Wk Range
44,WDAY,"Workday, Inc.",,276.17 +16.44 (+6.33%),16.44,+6.33%,5.236M,3.489M,73.461B,45.42,-11.77%,
45,ORLA,Orla Mining Ltd.,,6.91 +0.41 (+6.31%),0.41,+6.31%,1.398M,620681,2.222B,-,71.07%,
46,MRVL,"Marvell Technology, Inc.",,116.46 +6.77 (+6.17%),6.77,+6.17%,13.452M,14.112M,100.773B,-,63.70%,
47,WU,The Western Union Company,,11.01 +0.63 (+6.07%),0.63,+6.07%,15.283M,4.771M,3.719B,5.62,-13.26%,
48,KNSL,"Kinsale Capital Group, Inc.",,485.01 +27.72 (+6.06%),27.72,+6.06%,237408,161652,11.295B,27.70,10.59%,
49,CAMT,Camtek Ltd.,,93.54 +5.34 (+6.05%),5.34,+6.05%,369782,576620,4.246B,42.91,14.47%,
50,ASND,Ascendis Pharma A/S,,129.41 +7.16 (+5.86%),7.16,+5.86%,645459,442166,7.74B,-,-10.19%,
51,MLTX,MoonLake Immunotherapeutics,,46.63 +2.52 (+5.71%),2.52,+5.71%,276783,320483,2.941B,-,-27.14%,
52,VOYA,"Voya Financial, Inc.",,72.22 +3.79 (+5.54%),3.79,+5.54%,3.593M,802010,6.949B,11.45,0.20%,
53,APLS,"Apellis Pharmaceuticals, Inc.",,30.37 +1.59 (+5.52%),1.59,+5.52%,1.851M,2.771M,3.778B,-,-57.29%,
54,AFRM,"Affirm Holdings, Inc.",,62.80 +3.27 (+5.49%),3.27,+5.49%,6.275M,8.304M,19.501B,-,34.23%,
55,AZZ,AZZ Inc.,,92.55 +4.81 (+5.48%),4.81,+5.48%,491738,182872,2.766B,54.76,30.69%,
56,HLNE,Hamilton Lane Incorporated,,170.18 +8.78 (+5.44%),8.78,+5.44%,719379,429755,9.434B,31.46,38.45%,
57,ODFL,"Old Dominion Freight Line, Inc.",,193.65 +9.99 (+5.44%),9.99,+5.44%,2.729M,1.424M,41.344B,33.91,-15.81%,
58,IBKR,"Interactive Brokers Group, Inc.",,233.45 +11.97 (+5.40%),11.97,+5.40%,2.802M,1.341M,98.638B,33.69,136.64%,
59,NXPI,NXP Semiconductors N.V.,,213.24 +10.84 (+5.36%),10.84,+5.36%,4.424M,2.435M,54.196B,21.89,-7.52%,
60,NVDA,NVIDIA Corporation,,124.83 +6.18 (+5.21%),6.18,+5.21%,259.005M,243.193M,3.057T,49.34,66.42%,
61,TOST,"Toast, Inc.",,41.32 +2.08 (+5.30%),2.08,+5.30%,5.17M,7.267M,23.47B,-,107.52%,
62,MDGL,"Madrigal Pharmaceuticals, Inc.",,339.97 +16.97 (+5.25%),16.97,+5.25%,332343,405728,7.415B,-,72.63%,
63,CIEN,Ciena Corporation,,92.08 +4.58 (+5.23%),4.58,+5.23%,2.351M,2.327M,13.086B,158.76,52.57%,
