Name,Volume,Price,Price Change,Price Percent Change
"Worthington Enterprises, Inc.",1.819M,51.6,9.97,23.95
GameStop Corp.,48.592M,28.39,2.99,11.75
ENN Energy Holdings Limited,68625,36.0,3.45,10.6
BRP Inc.,593777,38.23,2.69,7.57
Cintas Corporation,3.61M,204.71,11.25,5.82
Ashland Inc.,837252,59.74,2.81,4.94
"VNET Group, Inc.",6.95M,8.9,0.42,4.95
"Qifu Technology, Inc.",8.204M,46.37,2.14,4.84
PT Bank Rakyat Indonesia (Persero) Tbk,27660,11.91,0.51,4.47
"Molina Healthcare, Inc.",449887,323.52,12.99,4.18
Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,545220,14.68,0.6,4.26
"Paychex, Inc.",4.32M,150.19,6.06,4.2
Anglo American Platinum Limited,22280,6.8,0.25,3.82
TAL Education Group,5.639M,13.48,0.45,3.49
"Sumitomo Chemical Company, Limited",25147,12.35,0.42,3.52
"Avis Budget Group, Inc.",1.33M,61.55,2.07,3.48
Sysco Corporation,2.529M,72.76,2.37,3.37
Polaris Inc.,830484,42.95,1.33,3.2
"Constellation Brands, Inc.",1.186M,184.07,5.71,3.2
"Nintendo Co., Ltd.",112991,18.58,0.56,3.11
"Dollar Tree, Inc.",17.726M,69.21,2.07,3.08
Pilgrim's Pride Corporation,1.027M,52.59,1.52,2.98
Molson Coors Beverage Company,1.481M,60.56,1.8,3.06
Genmab A/S,1.313M,19.62,0.56,2.94
