Name,Volume,Price,Price Change,Price Percent Change
Sibanye-Stillwater Ltd. ADR (SBSW),13.0M,4.32,0.23,5.62
CuriosityStream Inc. (CURI),370.7K,3.03,0.16,5.57
Gray Media Inc. (GTN),2.0M,4.93,0.26,5.57
Upland Software Inc. (UPLD),141.6K,3.32,0.17,5.4
5E Advanced Materials Inc. (FEAM),749.3K,3.91,0.2,5.39
Lightpath Technologies Inc. Cl A (LPTH),139.8K,2.21,0.11,5.24
Orion Group Holdings Inc. (ORN),422.7K,5.87,0.29,5.2
Cohen Circle Acquisition Corp. I Cl A (CCIR),3.2M,12.09,0.59,5.13
Getty Images Holdings Inc. (GETY),3.2M,2.26,0.11,5.12
New Era Helium Inc. (NEHC),184.0K,2.29,0.11,5.05
