Name,Volume,Price,Price Change,Price Percent Change
Harmony Gold Mining Company Limited,6.313M,14.15,1.31,10.16
W. R. Berkley Corporation,4.612M,71.49,5.21,7.86
Gold Fields Limited,3.888M,22.15,1.19,5.65
"Soleno Therapeutics, Inc.",2.79M,71.19,3.8,5.64
AppLovin Corporation,10.326M,271.69,9.99,3.82
Zai Lab Limited,869086,37.5,1.32,3.65
E.ON SE,21681,15.11,0.46,3.14
"Braze, Inc.",3.454M,37.85,1.15,3.13
