Name,Volume,Price,Price Change,Price Percent Change
Trump Media & Technology Group Corp.,3445,14.49,-0.21,1.43
Trump Media & Technology Group Corp.,431367,22.08,-0.79,3.46
Mobileye Global Inc.,116289,16.44,-0.14,0.84
International Paper Company,386382,55.6,-0.66,1.17
Cintas Corporation,111535,205.85,12.39,6.4
Eldorado Gold Corporation,26297,16.65,0.06,0.39
Turkcell Iletisim Hizmetleri A.S.,15898,6.17,-0.04,0.65
Federal Home Loan Mortgage Corporation,1.842M,6.26,0.31,5.21
Banco BBVA Argentina S.A.,18950,20.04,0.14,0.71
United States Steel Corporation,114702,43.02,0.02,0.05
Primo Brands Corporation,36794,33.31,-0.21,0.61
"AppFolio, Inc.",1493,229.65,-0.68,0.3
"Intapp, Inc.",4407,63.65,-0.53,0.82
YPF Sociedad Anónima,24337,37.95,0.28,0.74
"Clear Secure, Inc.",26138,27.52,0.01,0.04
"Qorvo, Inc.",7624,75.35,-0.28,0.37
Cellebrite DI Ltd.,50502,20.8,0.19,0.92
"CEMEX, S.A.B. de C.V.",104816,6.22,-0.06,0.96
MINISO Group Holding Limited,110377,19.08,0.84,4.65
"Sumitomo Chemical Company, Limited",25147,12.35,0.42,3.52
Equinox Gold Corp.,148178,6.95,-0.05,0.64
Freeport-McMoRan Inc.,397283,43.08,0.07,0.16
UniCredit S.p.A.,159,29.91,0.97,3.35
"CrowdStrike Holdings, Inc.",69359,382.89,-2.06,0.53
"Duolingo, Inc.",11853,338.99,-1.51,0.44
Disco Corporation,15505,22.99,0.7,3.14
Freshworks Inc.,43588,16.35,-0.1,0.58
"Paychex, Inc.",107734,147.61,3.48,2.41
