Name,Volume,Price,Price Change,Price Percent Change
Portage Biotech Inc. (PRTG),25.3M,9.98,5.27,111.86
Lixiang Education Holding Co. Ltd. ADR (LXEH),156.1K,20.25,6.92,51.91
DBV Technologies S.A. ADR (DBVT),19.2M,5.9,1.99,50.9
NeOnc Technologies Holdings Inc. (NTHI),59.1K,17.7,5.7,47.5
Argan Inc. (AGX),805.2K,144.49,29.26,25.39
Park Ha Biological Technology Co. Ltd. (PHH),273.4K,13.78,1.95,16.48
Alumis Inc. (ALMS),499.1K,5.47,0.77,16.38
Quantum Biopharma Ltd. (QNTM),12.7M,9.58,1.2,14.32
OneConstruction Group Ltd. (ONEG),52.6K,3.0,0.34,12.78
Harmony Gold Mining Co. Ltd. ADR (HMY),6.2M,14.14,1.3,10.16
Baiya International Group Inc. (BIYA),1.0M,7.02,0.63,9.84
Abacus Global Management Inc. (ABL),403.7K,7.83,0.68,9.51
QuantaSing Group Ltd. ADR (QSG),481.4K,3.32,0.26,8.5
Aeluma Inc. (ALMU),60.2K,7.02,0.52,7.91
W.R. Berkley Corp. (WRB),4.6M,71.47,5.19,7.83
Aeva Technologies Inc. (AEVA),1.8M,6.86,0.48,7.6
Genelux Corp. (GNLX),91.9K,3.26,0.23,7.59
CureVac N.V. (CVAC),1.6M,3.0,0.2,7.18
MBX Biosciences Inc. (MBX),174.3K,7.93,0.52,7.05
Junee Ltd. (JUNE),92.2K,9.4,0.59,6.75
Couchbase Inc. (BASE),972.6K,15.57,0.91,6.21
Sky Harbour Group Corp. (SKYH),128.3K,13.65,0.78,6.06
CervoMed Inc. (CRVO),774.4K,9.0,0.5,5.88
Gold Fields Ltd. ADR (GFI),3.8M,22.15,1.19,5.68
Soleno Therapeutics Inc. (SLNO),2.7M,71.18,3.79,5.62
Arbutus Biopharma Corp. (ABUS),548.8K,3.43,0.16,4.89
Pulse Biosciences Inc. (PLSE),158.0K,16.4,0.74,4.73
Bowen Acquisition Corp. (BOWN),89.3K,7.66,0.34,4.64
Information Services Group Inc. (III),53.9K,3.93,0.16,4.36
Savara Inc. (SVRA),383.0K,2.9,0.12,4.32
908 Devices Inc. (MASS),390.7K,4.17,0.16,3.99
AppLovin Corp. (APP),10.1M,271.72,10.02,3.83
Zai Lab Ltd. ADR (ZLAB),842.6K,37.5,1.32,3.65
Nuvectis Pharma Inc. (NVCT),50.1K,9.99,0.34,3.52
Braze Inc. (BRZE),3.4M,37.98,1.28,3.5
Worksport Ltd. (WKSP),117.2K,3.46,0.11,3.28
Bicara Therapeutics Inc. (BCAX),81.8K,13.82,0.42,3.13
Skycorp Solar Group Ltd. (PN),82.6K,3.14,0.09,2.95
Acuren Corp. (TIC),57.7K,11.52,0.33,2.9
AngloGold Ashanti PLC (AU),2.4M,37.22,1.04,2.87
Comstock Inc. (LODE),156.1K,2.57,0.07,2.8
Enphase Energy Inc. (ENPH),1.1M,62.4,1.69,2.78
DRDGOLD Ltd. ADR (DRD),366.9K,14.84,0.4,2.77
Giftify Inc. (GIFT),111.3K,2.16,0.06,2.76
Amber International Holding Ltd. ADR (AMBR),56.2K,12.38,0.33,2.74
National Grid PLC ADR (NGG),455.7K,65.66,1.73,2.7
