Name,Volume,Price,Price Change,Price Percent Change
Aura Biosciences Inc. (AURA),980.3K,6.1,0.16,2.69
Sunrise Communications Group AG ADR (SNRE),99.5K,48.68,1.25,2.65
Golden Ocean Group Ltd. (GOGL),4.0M,8.36,0.21,2.64
California Water Service Group (CWT),117.5K,47.73,1.22,2.62
Matrix Service Co. (MTRX),75.0K,12.62,0.32,2.6
Tyra Biosciences Inc. (TYRA),66.7K,9.91,0.25,2.59
BioCardia Inc. (BCDA),53.9K,2.75,0.07,2.57
Brookdale Senior Living Inc. (BKD),786.6K,6.06,0.14,2.45
Tarsus Pharmaceuticals Inc. (TARS),135.6K,51.88,1.23,2.43
Hawaiian Electric Industries Inc. (HE),1.5M,11.44,0.27,2.42
Rocket Lab USA Inc. (RKLB),15.2M,18.85,0.43,2.33
Blend Labs Inc. (BLND),1.2M,3.52,0.08,2.33
Turkcell Iletisim Hizmetleri A.S. ADR (TKC),356.9K,6.22,0.14,2.32
PPL Corp. (PPL),3.1M,35.78,0.81,2.3
ONE Gas Inc. (OGS),114.7K,75.38,1.65,2.23
American Water Works Co. (AWK),395.7K,146.22,3.15,2.21
Merck & Co. Inc. (MRK),4.9M,89.5,1.9,2.17
BeiGene Ltd. ADR (ONC),219.1K,268.19,5.59,2.13
Gladstone Land Corp. (LAND),174.0K,10.63,0.21,2.02
Nexxen International Ltd. (NEXN),88.1K,7.78,0.15,1.97
Ferrari N.V. (RACE),573.6K,435.09,8.27,1.94
Pinnacle West Capital Corp. (PNW),311.6K,94.8,1.78,1.91
TTEC Holdings Inc. (TTEC),126.6K,3.48,0.07,1.9
Essential Utilities Inc. (WTRG),497.6K,39.38,0.73,1.89
Eversource Energy (ES),520.1K,61.42,1.11,1.85
SJW Group (SJW),81.6K,53.23,0.95,1.82
CMS Energy Corp. (CMS),812.9K,74.47,1.32,1.8
Ameresco Inc. Cl A (AMRC),122.3K,12.52,0.22,1.79
Simulations Plus Inc. (SLP),66.8K,24.63,0.43,1.78
Pulmonx Corp. (LUNG),116.0K,6.91,0.12,1.77
FirstEnergy Corp. (FE),2.5M,40.15,0.69,1.76
NorthWestern Energy Group Inc. (NWE),141.5K,56.65,0.98,1.76
Bowhead Specialty Holdings Inc. (BOW),206.3K,41.72,0.72,1.76
Tat Technologies Ltd. (TATT),56.2K,28.46,0.49,1.75
Welltower Inc. (WELL),802.6K,152.48,2.56,1.7
Kaspi.kz JSC ADR (KSPI),226.0K,94.36,1.55,1.67
Sanofi ADR (SNY),1.2M,55.81,0.9,1.64
Public Service Enterprise Group Inc. (PEG),470.3K,82.03,1.32,1.64
Grocery Outlet Holding Corp. (GO),509.5K,13.18,0.21,1.62
Sibanye-Stillwater Ltd. ADR (SBSW),5.1M,4.42,0.07,1.61
Portland General Electric Co. (POR),170.0K,44.44,0.7,1.6
New Jersey Resources Corp. (NJR),153.7K,49.15,0.76,1.57
Annexon Inc. (ANNX),326.7K,2.28,0.04,1.56
Genco Shipping & Trading Ltd. (GNK),238.4K,13.36,0.2,1.56
AstraZeneca PLC ADR (AZN),1.8M,73.97,1.13,1.55
WEC Energy Group Inc. (WEC),497.8K,107.86,1.64,1.54
Rhythm Pharmaceuticals Inc. (RYTM),62.6K,54.32,0.82,1.54
MicroAlgo Inc. (MLGO),26.0M,16.18,0.24,1.54
Haleon PLC ADR (HLN),6.3M,10.27,0.15,1.48
Spyre Therapeutics Inc. (SYRE),211.6K,17.95,0.26,1.47
Dominion Energy Inc. (D),876.3K,55.26,0.79,1.44
American Financial Group Inc. (AFG),207.5K,129.61,1.84,1.44
Third Harmonic Bio Inc. (THRD),170.2K,3.54,0.05,1.43
Innoviva Inc. (INVA),118.8K,18.14,0.26,1.43
