Name,Volume,Price,Price Change,Price Percent Change
Harmony Gold Mining Company Limited,10.216M,14.06,1.22,9.54
MicroAlgo Inc.,42.01M,17.35,1.41,8.85
W. R. Berkley Corporation,7.466M,71.25,4.97,7.51
"Soleno Therapeutics, Inc.",5.073M,71.99,4.6,6.83
Gold Fields Limited,6.105M,21.9,0.94,4.48
Denali Therapeutics Inc.,1.469M,14.78,0.58,4.08
AppLovin Corporation,15.39M,272.38,10.68,4.08
California Water Service Group,389113,48.28,1.77,3.81
Zai Lab Limited,1.52M,37.29,1.11,3.07
